date,personnel,POW
2/25/2022,2800,0
2/26/2022,4300,0
2/27/2022,4500,0
2/28/2022,5300,0
3/1/2022,5710,200
3/2/2022,5840,200
3/3/2022,9000,200
3/4/2022,9166,200
3/5/2022,10000,216
3/6/2022,11000,232
3/7/2022,11000,259
3/8/2022,12000,284
3/9/2022,12000,360
3/10/2022,12000,371
3/11/2022,12000,389
3/12/2022,12000,389
3/13/2022,12000,389
3/14/2022,12000,389
3/15/2022,13500,389
3/16/2022,13800,389
3/17/2022,14000,405
3/18/2022,14200,405
3/19/2022,14400,405
3/20/2022,14700,405
3/21/2022,15000,405
3/22/2022,15300,411
3/23/2022,15600,412
3/24/2022,15800,412
3/25/2022,16100,412
3/26/2022,16400,412
3/27/2022,16600,421
3/28/2022,17000,421
3/29/2022,17200,430
3/30/2022,17300,430
3/31/2022,17500,459
4/1/2022,17700,459
4/2/2022,17700,460
4/3/2022,18000,460
4/4/2022,18300,460
4/5/2022,18500,467
4/6/2022,18600,467
4/7/2022,18900,467
4/8/2022,19000,467
4/9/2022,19100,467
4/10/2022,19300,467
4/11/2022,19500,467
4/12/2022,19600,477
4/13/2022,19800,477
4/14/2022,19900,477
4/15/2022,20000,477
4/16/2022,20100,477
4/17/2022,20300,477
4/18/2022,20600,477
4/19/2022,20800,489
4/20/2022,20900,489
4/21/2022,21000,489
4/22/2022,21200,489
4/23/2022,21600,489
4/24/2022,21800,489
4/25/2022,21900,489
4/26/2022,22100,489
4/27/2022,22400,496
4/28/2022,22800,
4/29/2022,23000,
4/30/2022,23200,
5/1/2022,23500,
5/2/2022,23800,
5/3/2022,24200,
5/4/2022,24500,
5/5/2022,24700,
5/6/2022,24900,
5/7/2022,25100,
5/8/2022,25500,
5/9/2022,25650,
5/10/2022,26000,
5/11/2022,26350,
5/12/2022,26650,
5/13/2022,26900,
5/14/2022,27200,
5/15/2022,27400,
5/16/2022,27700,
5/17/2022,27900,
5/18/2022,28300,
5/19/2022,28500,
5/20/2022,28700,
5/21/2022,28850,
5/22/2022,29050,
5/23/2022,29200,
5/24/2022,29350,
5/25/2022,29450,
5/26/2022,29600,
5/27/2022,29750,
5/28/2022,30000,
5/29/2022,30150,
5/30/2022,30350,
5/31/2022,30500,
6/1/2022,30700,
6/2/2022,30850,
6/3/2022,30950,
6/4/2022,31050,
6/5/2022,31150,
6/6/2022,31250,
6/7/2022,31360,
6/8/2022,31500,
6/9/2022,31700,
6/10/2022,31900,
6/11/2022,32050,
6/12/2022,32150,
6/13/2022,32300,
6/14/2022,32500,
6/15/2022,32750,
6/16/2022,32950,
6/17/2022,33150,
6/18/2022,33350,
6/19/2022,33600,
6/20/2022,33800,
6/21/2022,34100,
6/22/2022,34230,
6/23/2022,34430,
6/24/2022,34530,
6/25/2022,34700,
6/26/2022,34850,
6/27/2022,35000,
6/28/2022,35250,
6/29/2022,35450,
6/30/2022,35600,
7/1/2022,35750,
7/2/2022,35870,
7/3/2022,35970,
7/4/2022,36200,
7/5/2022,36350,
7/6/2022,36500,
7/7/2022,36650,
7/8/2022,36900,
7/9/2022,37200,
7/10/2022,37300,
7/11/2022,37400,
7/12/2022,37470,
7/13/2022,37570,
7/14/2022,37870,
7/15/2022,38000,
7/16/2022,38140,
7/17/2022,38300,
7/18/2022,38450,
7/19/2022,38550,
7/20/2022,38750,
7/21/2022,38850,
7/22/2022,39000,
7/23/2022,39240,
7/24/2022,39520,
7/25/2022,39700,
7/26/2022,39870,
7/27/2022,40070,
7/28/2022,40230,
7/29/2022,40500,
7/30/2022,40670,
7/31/2022,40830,
8/1/2022,41030,
8/2/2022,41170,
8/3/2022,41350,
8/4/2022,41500,
8/5/2022,41650,
8/6/2022,41900,
8/7/2022,42200,
8/8/2022,42340,
8/9/2022,42640,
8/10/2022,42800,
8/11/2022,43000,
8/12/2022,43200,
8/13/2022,43400,
8/14/2022,43550,
8/15/2022,43750,
8/16/2022,43900,
8/17/2022,44100,
8/18/2022,44300,
8/19/2022,44700,
8/20/2022,44900,
8/21/2022,45200,
8/22/2022,45400,
8/23/2022,45550,
8/24/2022,45700,
8/25/2022,45850,
8/26/2022,46250,
8/27/2022,46500,
8/28/2022,46750,
8/29/2022,47100,
8/30/2022,47550,
8/31/2022,47900,
9/1/2022,48350,
9/2/2022,48700,
9/3/2022,49050,
9/4/2022,49500,
9/5/2022,49800,
9/6/2022,50150,
9/7/2022,50610,
9/8/2022,51250,
9/9/2022,51900,
9/10/2022,52250,
9/11/2022,52650,
9/12/2022,52950,
9/13/2022,53300,
9/14/2022,53650,
9/15/2022,53850,
9/16/2022,54050,
9/17/2022,54250,
9/18/2022,54480,
9/19/2022,54650,
9/20/2022,54810,
9/21/2022,55110,
9/22/2022,55510,
9/23/2022,56060,
9/24/2022,56300,
9/25/2022,56700,
9/26/2022,57200,
9/27/2022,57750,
9/28/2022,58150,
9/29/2022,58580,
9/30/2022,59080,
10/1/2022,59610,
10/2/2022,60110,
10/3/2022,60430,
10/4/2022,60800,
10/5/2022,61000,
10/6/2022,61330,
10/7/2022,61680,
10/8/2022,62060,
10/9/2022,62500,
10/10/2022,62870,
10/11/2022,63110,
10/12/2022,63380,
10/13/2022,63800,
10/14/2022,64300,
10/15/2022,64700,
10/16/2022,65000,
10/17/2022,65320,
10/18/2022,65850,
10/19/2022,66280,
10/20/2022,66650,
10/21/2022,66750,
10/22/2022,67070,
10/23/2022,67470,
10/24/2022,67940,
10/25/2022,68420,
10/26/2022,68900,
10/27/2022,69220,
10/28/2022,69700,
10/29/2022,70250,
10/30/2022,71200,
10/31/2022,71820,
11/1/2022,72470,
11/2/2022,73270,
11/3/2022,74000,
11/4/2022,74840,
11/5/2022,75440,
11/6/2022,75930,
11/7/2022,76460,
11/8/2022,77170,
11/9/2022,77950,
11/10/2022,78690,
11/11/2022,79400,
11/12/2022,80210,
11/13/2022,80860,
11/14/2022,81370,
11/15/2022,82080,
11/16/2022,82710,
11/17/2022,83110,
11/18/2022,83460,
11/19/2022,83880,
11/20/2022,84210,
